date,state,fips,cases,deaths
2020-10-27,Florida,12,786303,16504
2020-10-28,Florida,12,790418,16570
2020-10-29,Florida,12,794616,16647
2020-10-30,Florida,12,800208,16719
2020-10-31,Florida,12,802539,16760
2020-11-01,Florida,12,807404,16788
2020-11-02,Florida,12,812055,16833
2020-11-03,Florida,12,816692,16889
2020-11-04,Florida,12,821115,16921
2020-11-05,Florida,12,827372,16960
2020-11-06,Florida,12,832617,17013
2020-11-07,Florida,12,837069,17099
2020-11-08,Florida,12,843889,17120
2020-11-09,Florida,12,847813,17178
2020-11-10,Florida,12,852166,17247
2020-11-11,Florida,12,858004,17299
2020-11-12,Florida,12,863611,17371
2020-11-13,Florida,12,870544,17444
2020-11-14,Florida,12,875088,17488
2020-11-15,Florida,12,885193,17517
2020-11-16,Florida,12,889856,17558
2020-11-17,Florida,12,897315,17643
2020-11-18,Florida,12,905240,17730
2020-11-19,Florida,12,914325,17809
2020-11-20,Florida,12,923410,17888
2020-11-21,Florida,12,931819,17929
2020-11-22,Florida,12,938406,17990
2020-11-23,Florida,12,944737,18084
2020-11-24,Florida,12,953292,18156
2020-11-25,Florida,12,961668,18253
2020-11-26,Florida,12,961668,18253
2020-11-27,Florida,12,979012,18362
2020-11-28,Florida,12,985289,18441
2020-11-29,Florida,12,992652,18499
2020-11-30,Florida,12,999311,18596
2020-12-01,Florida,12,1008158,18678
2020-12-02,Florida,12,1018152,18775
2020-12-03,Florida,12,1029022,18873
2020-12-04,Florida,12,1039199,18993
2020-12-05,Florida,12,1049630,19083
2020-12-06,Florida,12,1058066,19176
2020-12-07,Florida,12,1065777,19281
2020-12-08,Florida,12,1073762,19377
2020-12-09,Florida,12,1083354,19461
2020-12-10,Florida,12,1094689,19590
2020-12-11,Florida,12,1106388,19713
2020-12-12,Florida,12,1116965,19784
2020-12-13,Florida,12,1125923,19865
2020-12-14,Florida,12,1134375,20002
2020-12-15,Florida,12,1143786,20081
2020-12-16,Florida,12,1155327,20203
2020-12-17,Florida,12,1168475,20304
2020-12-18,Florida,12,1181475,20400
2020-12-19,Florida,12,1193157,20472
2020-12-20,Florida,12,1201558,20567
2020-12-21,Florida,12,1212573,20679
2020-12-22,Florida,12,1223007,20753
2020-12-23,Florida,12,1234391,20873
2020-12-24,Florida,12,1247538,20994
2020-12-25,Florida,12,1247538,20994
2020-12-26,Florida,12,1264580,21134
2020-12-27,Florida,12,1271971,21211
2020-12-28,Florida,12,1280169,21307
2020-12-29,Florida,12,1292244,21408
2020-12-30,Florida,12,1306115,21545
2020-12-31,Florida,12,1323307,21672
2021-01-01,Florida,12,1323307,21672
2021-01-02,Florida,12,1354825,21889
2021-01-03,Florida,12,1365428,21986
2021-01-04,Florida,12,1376684,22089
2021-01-05,Florida,12,1392115,22187
2021-01-06,Florida,12,1409898,22316
2021-01-07,Florida,12,1429714,22480
2021-01-08,Florida,12,1449244,22665
2021-01-09,Florida,12,1464689,22803
2021-01-10,Florida,12,1477002,22911
2021-01-11,Florida,12,1488578,23070
2021-01-12,Florida,12,1503474,23226
2021-01-13,Florida,12,1517464,23395
2021-01-14,Florida,12,1531184,23612
2021-01-15,Florida,12,1548059,23798
2021-01-16,Florida,12,1560178,24003
2021-01-17,Florida,12,1571271,24136
2021-01-18,Florida,12,1579273,24273
2021-01-19,Florida,12,1589089,24435
2021-01-20,Florida,12,1601003,24577
2021-01-21,Florida,12,1613876,24738
2021-01-22,Florida,12,1627595,25010
2021-01-23,Florida,12,1639906,25163
2021-01-24,Florida,12,1649441,25292
2021-01-25,Florida,12,1658161,25445
2021-01-26,Florida,12,1667755,25672
2021-01-27,Florida,12,1676163,25832
2021-01-28,Florida,12,1687586,26034
2021-01-29,Florida,12,1698562,26253
2021-01-30,Florida,12,1713581,26359
2021-01-31,Florida,12,1721369,26478
2021-02-01,Florida,12,1727099,26684
2021-02-02,Florida,12,1737632,26821
2021-02-03,Florida,12,1744611,27018
2021-02-04,Florida,12,1752322,27246
2021-02-05,Florida,12,1763865,27456
2021-02-06,Florida,12,1771351,27598
2021-02-07,Florida,12,1777975,27695
2021-02-08,Florida,12,1783712,27814
2021-02-09,Florida,12,1790735,28047
2021-02-10,Florida,12,1798272,28207
2021-02-11,Florida,12,1806797,28381
2021-02-12,Florida,12,1814414,28564
2021-02-13,Florida,12,1821929,28682
2021-02-14,Florida,12,1827365,28778
2021-02-15,Florida,12,1830980,28933
2021-02-16,Florida,12,1837277,29153
2021-02-17,Florida,12,1844619,29310
2021-02-18,Florida,12,1849736,29473
2021-02-19,Florida,12,1856419,29691
2021-02-20,Florida,12,1863699,29812
2021-02-21,Florida,12,1868764,29905
2021-02-22,Florida,12,1872915,30064
2021-02-23,Florida,12,1878525,30212
2021-02-24,Florida,12,1885653,30339
2021-02-25,Florida,12,1892293,30477
2021-02-26,Florida,12,1898215,30623
2021-02-27,Florida,12,1903674,30733
2021-02-28,Florida,12,1909213,30851
2021-03-01,Florida,12,1910913,30998
2021-03-02,Florida,12,1918092,31134
2021-03-03,Florida,12,1924106,31266
2021-03-04,Florida,12,1930224,31386
2021-03-05,Florida,12,1936199,31521
