date,state,fips,cases,deaths
2020-10-28,Georgia,13,367126,7692
2020-10-29,Georgia,13,368840,7737
2020-10-30,Georgia,13,370157,7768
2020-10-31,Georgia,13,372631,7790
2020-11-01,Georgia,13,373700,7792
2020-11-02,Georgia,13,377261,7810
2020-11-03,Georgia,13,378894,7837
2020-11-04,Georgia,13,382113,8303
2020-11-05,Georgia,13,384531,8359
2020-11-06,Georgia,13,387202,8389
2020-11-07,Georgia,13,389257,8427
2020-11-08,Georgia,13,390617,8428
2020-11-09,Georgia,13,392246,8457
2020-11-10,Georgia,13,396498,8507
2020-11-11,Georgia,13,398769,8582
2020-11-12,Georgia,13,401750,8655
2020-11-13,Georgia,13,404577,8678
2020-11-14,Georgia,13,407596,8729
2020-11-15,Georgia,13,409504,8730
2020-11-16,Georgia,13,410581,8740
2020-11-17,Georgia,13,414821,8778
2020-11-18,Georgia,13,417934,8833
2020-11-19,Georgia,13,421381,8867
2020-11-20,Georgia,13,424759,8904
2020-11-21,Georgia,13,430687,8940
2020-11-22,Georgia,13,432954,8955
2020-11-23,Georgia,13,434916,8972
2020-11-24,Georgia,13,438441,8979
2020-11-25,Georgia,13,441737,9054
2020-11-26,Georgia,13,445204,9089
2020-11-27,Georgia,13,447942,9130
2020-11-28,Georgia,13,450627,9173
2020-11-29,Georgia,13,452322,9189
2020-11-30,Georgia,13,454328,9198
2020-12-01,Georgia,13,458985,9253
2020-12-02,Georgia,13,464417,9301
2020-12-03,Georgia,13,469955,9377
2020-12-04,Georgia,13,476181,9443
2020-12-05,Georgia,13,481126,9506
2020-12-06,Georgia,13,483106,9516
2020-12-07,Georgia,13,488225,9559
2020-12-08,Georgia,13,493558,9582
2020-12-09,Georgia,13,499299,9630
2020-12-10,Georgia,13,506802,9683
2020-12-11,Georgia,13,512715,9738
2020-12-12,Georgia,13,518973,9779
2020-12-13,Georgia,13,523580,9781
2020-12-14,Georgia,13,527157,9803
2020-12-15,Georgia,13,534488,9856
2020-12-16,Georgia,13,541086,9913
2020-12-17,Georgia,13,548646,9974
2020-12-18,Georgia,13,556615,10009
2020-12-19,Georgia,13,562479,10054
2020-12-20,Georgia,13,567654,10056
2020-12-21,Georgia,13,571301,10072
2020-12-22,Georgia,13,579957,10135
2020-12-23,Georgia,13,587472,10193
2020-12-24,Georgia,13,597753,10256
2020-12-25,Georgia,13,603246,10303
2020-12-26,Georgia,13,607133,10352
2020-12-27,Georgia,13,610574,10356
2020-12-28,Georgia,13,614716,10363
2020-12-29,Georgia,13,623901,10439
2020-12-30,Georgia,13,632861,10503
2020-12-31,Georgia,13,644065,10588
2021-01-01,Georgia,13,654950,10610
2021-01-02,Georgia,13,662077,10612
2021-01-03,Georgia,13,667705,10616
2021-01-04,Georgia,13,672849,10623
2021-01-05,Georgia,13,682749,10725
2021-01-06,Georgia,13,690137,10814
2021-01-07,Georgia,13,699806,10878
2021-01-08,Georgia,13,712785,10958
2021-01-09,Georgia,13,724317,11096
2021-01-10,Georgia,13,732121,11097
2021-01-11,Georgia,13,740078,11113
2021-01-12,Georgia,13,749417,11297
2021-01-13,Georgia,13,757993,11435
2021-01-14,Georgia,13,766917,11599
2021-01-15,Georgia,13,776485,11757
2021-01-16,Georgia,13,785048,11900
2021-01-17,Georgia,13,791322,11906
2021-01-18,Georgia,13,796307,11967
2021-01-19,Georgia,13,804508,12179
2021-01-20,Georgia,13,812454,12373
2021-01-21,Georgia,13,820513,12484
2021-01-22,Georgia,13,829023,12653
2021-01-23,Georgia,13,838057,12834
2021-01-24,Georgia,13,842798,12838
2021-01-25,Georgia,13,847036,12890
2021-01-26,Georgia,13,855488,13065
2021-01-27,Georgia,13,861830,13222
2021-01-28,Georgia,13,869165,13404
2021-01-29,Georgia,13,875514,13557
2021-01-30,Georgia,13,881740,13776
2021-01-31,Georgia,13,885249,13778
2021-02-01,Georgia,13,888462,13821
2021-02-02,Georgia,13,893441,14024
2021-02-03,Georgia,13,898639,14153
2021-02-04,Georgia,13,904450,14315
2021-02-05,Georgia,13,909170,14413
2021-02-06,Georgia,13,913596,14642
2021-02-07,Georgia,13,917063,14642
2021-02-08,Georgia,13,919778,14679
2021-02-09,Georgia,13,923544,14849
2021-02-10,Georgia,13,926947,14966
2021-02-11,Georgia,13,931043,15050
2021-02-12,Georgia,13,934874,15239
2021-02-13,Georgia,13,938577,15377
2021-02-14,Georgia,13,940451,15397
2021-02-15,Georgia,13,942484,15451
2021-02-16,Georgia,13,945339,15691
2021-02-17,Georgia,13,948719,15779
2021-02-18,Georgia,13,952133,15906
2021-02-19,Georgia,13,955724,16110
2021-02-20,Georgia,13,958998,16233
2021-02-21,Georgia,13,960697,16235
2021-02-22,Georgia,13,962215,16313
2021-02-23,Georgia,13,966131,16401
2021-02-24,Georgia,13,969603,16532
2021-02-25,Georgia,13,972984,16663
2021-02-26,Georgia,13,976400,16682
2021-02-27,Georgia,13,979683,16756
2021-02-28,Georgia,13,981844,16757
2021-03-01,Georgia,13,983879,16834
2021-03-02,Georgia,13,986968,16936
2021-03-03,Georgia,13,989698,17079
2021-03-04,Georgia,13,992399,17198
2021-03-05,Georgia,13,994416,17260
